## S81 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 1
## Verdict files scanned: 2
## Plan files scanned: 0
## Session .md files scanned (cited_in scope): 1
## Total edges (deduped): 1578
## Edge types: anchored_in
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:T3-BATCH-S22C-HIGGS-SIGMA -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S22C-HIGGS-SIGMA: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S22C-INSTANTON-ACTION -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S22C-INSTANTON-ACTION: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S22C-LANDAU-CLASSIFICATION -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S22C-LANDAU-CLASSIFICATION: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S22C-ORDER-ONE -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S22C-ORDER-ONE: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S22D-CONSTRAINTS -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S22D-CONSTRAINTS: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S22D-ROLLING-MODULUS -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S22D-ROLLING-MODULUS: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S23A-BCS-GAP-EQUATION -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S23A-BCS-GAP-EQUATION: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S23A-EIGENVECTOR-EXTENDED -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S23A-EIGENVECTOR-EXTENDED: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S23A-KOSMANN-SINGLET -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S23A-KOSMANN-SINGLET: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S23A-PRECHECK-3A-CONVERGENCE -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S23A-PRECHECK-3A-CONVERGENCE: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S23A-PRECHECK-3B -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S23A-PRECHECK-3B: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S23A-PRECHECK-3B-N50-ANOMALY -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S23A-PRECHECK-3B-N50-ANOMALY: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S23A-PRECHECK-3C-BIANCHI -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S23A-PRECHECK-3C-BIANCHI: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S23A-VALIDATION-EINSTEIN -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S23A-VALIDATION-EINSTEIN: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S23A-VALIDATION-EINSTEIN-PART2 -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S23A-VALIDATION-EINSTEIN-PART2: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S23C-2X2-MOMENT-SYSTEM -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S23C-2X2-MOMENT-SYSTEM: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S23C-AC-NORMALIZATION -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S23C-AC-NORMALIZATION: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S23C-F-DEPENDENCE -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S23C-F-DEPENDENCE: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S23C-FIBER-INTEGRALS -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S23C-FIBER-INTEGRALS: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S23C-FIBER-INTEGRALS-FINAL -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S23C-FIBER-INTEGRALS-FINAL: INFO'
