## S85 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 16
## Verdict files scanned: 1
## Plan files scanned: 20
## Session .md files scanned (cited_in scope): 63
## Total edges (deduped): 205
## Edge types: anchored_in,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:S85-FOLDED-BISPECTRUM-21CM-SHAPE-TEMPLATE -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-FOLDED-BISPECTRUM-21CM-SHAPE-TEMPLATE: FAIL'
[EDGE:anchored_in] gates:S85-W3-PARTITION-INVARIANCE-CP2 -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W3-PARTITION-INVARIANCE-CP2: INFO'
[EDGE:anchored_in] gates:S85-W6-1-AWH-FORMAL -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W6-1-AWH-FORMAL: PASS'
[EDGE:anchored_in] gates:S85-W6-2-CMPP-DENSE -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W6-2-CMPP-DENSE: PASS'
[EDGE:anchored_in] gates:S85-W6-3-CONF-INF-BIFURC -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W6-3-CONF-INF-BIFURC: PASS'
[EDGE:anchored_in] gates:S85-W6-4-EXTREMAL-HORIZON-FORMAL -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W6-4-EXTREMAL-HORIZON-FORMAL: PASS'
[EDGE:anchored_in] gates:S85-W6-5-MELLIN-CONE-EXT -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W6-5-MELLIN-CONE-EXT: PASS'
[EDGE:anchored_in] gates:S85-W6-6-PENROSE-CATALOG -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W6-6-PENROSE-CATALOG: PASS'
[EDGE:anchored_in] gates:S85-W6-7-PETROV-NON-BD-PERT -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W6-7-PETROV-NON-BD-PERT: FAIL'
[EDGE:anchored_in] gates:S85-VAN-HOVE-CUSP-THEOREM -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-VAN-HOVE-CUSP-THEOREM: FAIL'
[EDGE:anchored_in] gates:S85-D_SPEC-ALT-DERIVATION-PATH -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-D_SPEC-ALT-DERIVATION-PATH: FAIL'
[EDGE:anchored_in] gates:S85-CC-2-SPIN8-TRIALITY-ORBIT-SUM -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-CC-2-SPIN8-TRIALITY-ORBIT-SUM: FAIL'
[EDGE:anchored_in] gates:S85-CC-3-CONNES-MOSCOVICI-RESIDUE -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-CC-3-CONNES-MOSCOVICI-RESIDUE: FAIL'
[EDGE:anchored_in] gates:S85-CC-4-DAI-FREED-TORSION -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-CC-4-DAI-FREED-TORSION: PASS'
[EDGE:anchored_in] gates:S85-CMB-S4-ALPHA-FLAGSHIP-DOC -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-CMB-S4-ALPHA-FLAGSHIP-DOC: PASS'
[EDGE:anchored_in] gates:S85-W4-1-CMB-S4-INDEP-AUG -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W4-1-CMB-S4-INDEP-AUG: INFO'
[EDGE:anchored_in] gates:S85-CANONICAL-ENTRY-CONSOLIDATION -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-CANONICAL-ENTRY-CONSOLIDATION: FAIL'
[EDGE:anchored_in] gates:S85-CSCANON-IDENTITY-TEST -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-CSCANON-IDENTITY-TEST: FAIL'
[EDGE:anchored_in] gates:S85-HP1-DIMENSION-UNTWISTED-TWISTED -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-HP1-DIMENSION-UNTWISTED-TWISTED: PASS'
[EDGE:anchored_in] gates:S85-W4-2-XCORR-MATRIX -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W4-2-XCORR-MATRIX: PASS'
[EDGE:anchored_in] gates:S85-K-FLOOR-WALL-JOINT-REGISTRY-LANDING -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-K-FLOOR-WALL-JOINT-REGISTRY-LANDING: FAIL'
[EDGE:anchored_in] gates:S85-LITEB-LSST-RESCUE-PRIOR -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-LITEB-LSST-RESCUE-PRIOR: INFO'
[EDGE:anchored_in] gates:S85-W4-3-DESI-DR3-INDEP -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W4-3-DESI-DR3-INDEP: INFO'
