## S87 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 1
## Verdict files scanned: 1
## Plan files scanned: 21
## Session .md files scanned (cited_in scope): 22
## Total edges (deduped): 147
## Edge types: anchored_in,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:S87-VII-PROP-LANDING-A -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-VII-PROP-LANDING-A: PASS'
[EDGE:anchored_in] gates:S87-CROSS-PILLAR-FORWARD-CANDIDATES -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-CROSS-PILLAR-FORWARD-CANDIDATES: FAIL'
[EDGE:anchored_in] gates:S87-VII-P-V2-HP1-CONTENT-DISTINCT-RECAST -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-VII-P-V2-HP1-CONTENT-DISTINCT-RECAST: FAIL'
[EDGE:anchored_in] gates:S87-W11-C5-LAB-FALSIFIER -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-W11-C5-LAB-FALSIFIER: INFO'
[EDGE:anchored_in] gates:S87-S85-W5-7-F4-M-SUBSUM-REFACTOR -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-S85-W5-7-F4-M-SUBSUM-REFACTOR: PASS'
[EDGE:anchored_in] gates:S87-T7-S67-ISOMORPHISM-LANDING -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-T7-S67-ISOMORPHISM-LANDING: PASS'
[EDGE:anchored_in] gates:S87-F-PLAQUETTE-TRIANGULAR-WILSON -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-F-PLAQUETTE-TRIANGULAR-WILSON: PASS'
[EDGE:anchored_in] gates:S87-CROSS-CLUSTER-MELLIN-WICK-COMMUTATION-THEOREM -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-CROSS-CLUSTER-MELLIN-WICK-COMMUTATION-THEOREM: PASS'
[EDGE:anchored_in] gates:S87-V2-WEIGHT-MATCH-FORWARD-GATE -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-V2-WEIGHT-MATCH-FORWARD-GATE: FAIL'
[EDGE:anchored_in] gates:S87-CYCLIC-FOLD-CLASS-SURVEY -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-CYCLIC-FOLD-CLASS-SURVEY: INFO'
[EDGE:anchored_in] gates:S87-W5A-P3-IC-PER-CLASS-VERIFY -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-W5A-P3-IC-PER-CLASS-VERIFY: FAIL'
