## S86 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 21
## Verdict files scanned: 1
## Plan files scanned: 23
## Session .md files scanned (cited_in scope): 86
## Total edges (deduped): 172
## Edge types: anchored_in,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:S86-CANON-PRDR-K-DISAMBIGUATION -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-CANON-PRDR-K-DISAMBIGUATION: FAIL'
[EDGE:anchored_in] gates:S86-VII-SLOT-ALLOCATION-RECONCILIATION -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-VII-SLOT-ALLOCATION-RECONCILIATION: FAIL'
[EDGE:anchored_in] gates:S86-MELLIN-MULTIPLIER-INFINITE-VECTOR-EXTENSION -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-MELLIN-MULTIPLIER-INFINITE-VECTOR-EXTENSION: FAIL'
[EDGE:anchored_in] gates:S86-CLUSTER-SPAN-EXTRACTOR-BUILD -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-CLUSTER-SPAN-EXTRACTOR-BUILD: FAIL'
[EDGE:anchored_in] gates:S86-MELLIN-CONE-RESIDUE-INFRASTRUCTURE -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-MELLIN-CONE-RESIDUE-INFRASTRUCTURE: INFO'
[EDGE:anchored_in] gates:S86-MELLIN-HEAT-KERNEL-INFRA -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-MELLIN-HEAT-KERNEL-INFRA: FAIL'
[EDGE:anchored_in] gates:S86-VII-Y-RECONCILE-IN-SESSION -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-VII-Y-RECONCILE-IN-SESSION: PASS'
[EDGE:anchored_in] gates:S86-VII-R-IEP-ANNOTATION -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-VII-R-IEP-ANNOTATION: PASS'
[EDGE:anchored_in] gates:S86-VII-SLOT-ALLOCATION-FINAL-CLEANUP -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-VII-SLOT-ALLOCATION-FINAL-CLEANUP: PASS'
[EDGE:anchored_in] gates:S86-W-4-CUTOFF-SQRT-ADJUDICATION -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-W-4-CUTOFF-SQRT-ADJUDICATION: INFO'
[EDGE:anchored_in] gates:S86-SECTOR-2-MELLIN-KERNEL-K-INVARIANT -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-SECTOR-2-MELLIN-KERNEL-K-INVARIANT: FAIL'
[EDGE:anchored_in] gates:S86-BRANCH-IV-FORMULATION-COMMIT -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-BRANCH-IV-FORMULATION-COMMIT: FAIL'
[EDGE:anchored_in] gates:S86-SECTOR-1-SR-FLOW-Z-FACTOR-PIVOT55 -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-SECTOR-1-SR-FLOW-Z-FACTOR-PIVOT55: FAIL'
[EDGE:anchored_in] gates:S86-SECTOR-1-SR-FLOW-Z-FACTOR-PIVOT312 -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-SECTOR-1-SR-FLOW-Z-FACTOR-PIVOT312: FAIL'
[EDGE:anchored_in] gates:S86-ZETA-REGULATOR-STABILIZATION-THEOREM-LANDING -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-ZETA-REGULATOR-STABILIZATION-THEOREM-LANDING: FAIL'
[EDGE:anchored_in] gates:S86-W0-7-MB-RE-EMIT -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-W0-7-MB-RE-EMIT: FAIL'
[EDGE:anchored_in] gates:S86-W0-11-MB-RE-EMIT -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-W0-11-MB-RE-EMIT: FAIL'
[EDGE:anchored_in] gates:S86-W0-20-MB-RE-EMIT -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-W0-20-MB-RE-EMIT: FAIL'
[EDGE:anchored_in] gates:S86-CLUSTER-SPAN-K-CORRIDOR-EXTENSION -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-CLUSTER-SPAN-K-CORRIDOR-EXTENSION: FAIL'
[EDGE:anchored_in] gates:S86-W3-11-LAMBDA-CONVENTION-RESOLUTION -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-W3-11-LAMBDA-CONVENTION-RESOLUTION: FAIL'
[EDGE:anchored_in] gates:S86-JOINT-CC-RESIDUE-COMPUTE -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-JOINT-CC-RESIDUE-COMPUTE: PASS'
[EDGE:anchored_in] gates:S86-BRANCH-C-MECHANISM-DISCRIMINATING-GATE -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-BRANCH-C-MECHANISM-DISCRIMINATING-GATE: INFO'
[EDGE:anchored_in] gates:S86-W5B-C16-CSUB-ADMISSIBILITY -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-W5B-C16-CSUB-ADMISSIBILITY: INFO'
[EDGE:anchored_in] gates:S86-PERTURBATIVE-IMMUNIZATION-FAMILY-LANDING -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-PERTURBATIVE-IMMUNIZATION-FAMILY-LANDING: FAIL'
