## S92 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 14 (+ 18 in workshops/)
## Total edges (deduped): 84
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:participates_in] researchers:transit-dynamics-theorist -> data_provenance:sessions/archive/session-92/workshops/s92-adhoc-alpha-s-transfer-map-identity.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-adhoc-alpha-s-transfer-map-identity.md | match='transit (transit-dynamics-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-92/workshops/s92-adhoc-alpha-s-transfer-map-identity.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-adhoc-alpha-s-transfer-map-identity.md | match='connes (connes-ncg-theorist)'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-92/workshops/s92-adhoc-alpha-s-transfer-map-identity.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-adhoc-alpha-s-transfer-map-identity.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-92/workshops/s92-adhoc-alpha-s-transfer-map-identity.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-adhoc-alpha-s-transfer-map-identity.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-92/workshops/s92-adhoc-alpha-s-transfer-map-identity.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-adhoc-alpha-s-transfer-map-identity.md | match='## Round 3 — connes'
[EDGE:participates_in] researchers:kaluza-klein-theorist -> data_provenance:sessions/archive/session-92/workshops/s92-adhoc-spectral-dimension-ds-flow-vs-cdt.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-adhoc-spectral-dimension-ds-flow-vs-cdt.md | match='kk (kaluza-klein-theorist)'
[EDGE:participates_in] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-92/workshops/s92-adhoc-spectral-dimension-ds-flow-vs-cdt.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-adhoc-spectral-dimension-ds-flow-vs-cdt.md | match='landau (landau-condensed-matter-theorist)'
[EDGE:authored_round] researchers:kaluza-klein-theorist -> data_provenance:sessions/archive/session-92/workshops/s92-adhoc-spectral-dimension-ds-flow-vs-cdt.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-adhoc-spectral-dimension-ds-flow-vs-cdt.md | match='## Round 1 — kk'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-92/workshops/s92-adhoc-spectral-dimension-ds-flow-vs-cdt.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-adhoc-spectral-dimension-ds-flow-vs-cdt.md | match='## Round 1 — landau'
[EDGE:authored_round] researchers:kaluza-klein-theorist -> data_provenance:sessions/archive/session-92/workshops/s92-adhoc-spectral-dimension-ds-flow-vs-cdt.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-92/workshops/s92-adhoc-spectral-dimension-ds-flow-vs-cdt.md | match='## Round 2 — kk'
