## S35 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G3
## Files scanned: 6 (+ 0 in workshops/)
## Total edges (deduped): 39
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:data_provenance:sessions/archive/session-35/session-35-connes-spectral-geometer-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-35/session-35-connes-spectral-geometer-workshop.md | match='connes (connes-ncg-theorist)'
[EDGE:participates_in] researchers:berry-geometric-phase-theorist -> data_provenance:data_provenance:sessions/archive/session-35/session-35-kk-berry-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-35/session-35-kk-berry-workshop.md | match='berry (berry-geometric-phase-theorist)'
[EDGE:authored_round] researchers:kaluza-klein-theorist -> data_provenance:data_provenance:sessions/archive/session-35/session-35-kk-berry-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-35/session-35-kk-berry-workshop.md | match='## Round 1 — kk'
[EDGE:authored_round] researchers:berry-geometric-phase-theorist -> data_provenance:data_provenance:sessions/archive/session-35/session-35-kk-berry-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-35/session-35-kk-berry-workshop.md | match='## Round 1 — berry'
[EDGE:authored_round] researchers:kaluza-klein-theorist -> data_provenance:data_provenance:sessions/archive/session-35/session-35-kk-berry-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-35/session-35-kk-berry-workshop.md | match='## Round 2 — kk'
[EDGE:authored_round] researchers:berry-geometric-phase-theorist -> data_provenance:data_provenance:sessions/archive/session-35/session-35-kk-berry-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-35/session-35-kk-berry-workshop.md | match='## Round 2 — berry'
[EDGE:authored_round] researchers:kaluza-klein-theorist -> data_provenance:data_provenance:sessions/archive/session-35/session-35-kk-berry-workshop.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-35/session-35-kk-berry-workshop.md | match='## Round 3 — kk'
[EDGE:authored_round] researchers:berry-geometric-phase-theorist -> data_provenance:data_provenance:sessions/archive/session-35/session-35-kk-berry-workshop.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-35/session-35-kk-berry-workshop.md | match='## Round 3 — berry'
[EDGE:participates_in] researchers:neutrino-detection-specialist -> data_provenance:data_provenance:sessions/archive/session-35/session-35-neutrino-baptista-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-35/session-35-neutrino-baptista-workshop.md | match='neutrino (neutrino-detection-specialist)'
[EDGE:participates_in] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-35/session-35-neutrino-baptista-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-35/session-35-neutrino-baptista-workshop.md | match='baptista (baptista-spacetime-analyst)'
[EDGE:authored_round] researchers:neutrino-detection-specialist -> data_provenance:data_provenance:sessions/archive/session-35/session-35-neutrino-baptista-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-35/session-35-neutrino-baptista-workshop.md | match='## Round 1 — neutrino'
[EDGE:authored_round] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-35/session-35-neutrino-baptista-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-35/session-35-neutrino-baptista-workshop.md | match='## Round 1 — baptista'
[EDGE:authored_round] researchers:neutrino-detection-specialist -> data_provenance:data_provenance:sessions/archive/session-35/session-35-neutrino-baptista-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-35/session-35-neutrino-baptista-workshop.md | match='## Round 2 — neutrino'
[EDGE:authored_round] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-35/session-35-neutrino-baptista-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-35/session-35-neutrino-baptista-workshop.md | match='## Round 2 — baptista'
[EDGE:authored_by] gates:W1-A -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-35/session-35-results-workingpaper.md | match='### W1-A: Multi-Band 3×3 Thouless Eigenvalue (landau)'
[EDGE:authored_by] gates:W1-B -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-35/session-35-results-workingpaper.md | match='### W1-B: Exact Diagonalization at Corrected DOS (quantum-acoustics)'
[EDGE:authored_by] gates:W1-C -> researchers:feynman-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-35/session-35-results-workingpaper.md | match='### W1-C: 1D Wilson RG Flow for BCS Coupling (feynman)'
[EDGE:authored_by] gates:W1-D -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-35/session-35-results-workingpaper.md | match='### W1-D: K_7 Charge-Resolved Thouless Criterion (gen-physicist)'
[EDGE:authored_by] gates:W2-A -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-35/session-35-results-workingpaper.md | match='### W2-A: Van Hove Sensitivity Across Tau (gen-physicist)'
[EDGE:authored_by] gates:W2-B -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-35/session-35-results-workingpaper.md | match='### W2-B: Intra-B2 Coherence Under Wall Transport (gen-physicist)'
[EDGE:authored_by] gates:W2-C -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-35/session-35-results-workingpaper.md | match='### W2-C: Impedance Wave-Matching at Smooth Wall (baptista)'
[EDGE:authored_by] gates:W3-A -> researchers:neutrino-detection-specialist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-35/session-35-results-workingpaper.md | match='### W3-A: Wall-Localized PMNS with Corrected V (neutrino)'
