# archive_script_import_edges.txt
# Generated by tools/harvest_archive_script_import_edges.py
# Scanned 2160 archive scripts; emitted 16320 unique edges.
# Edge format: [EDGE:depends_on] data_provenance:<script>.py -> constants:<NAME>  # archive-script uses <NAME>
#
[EDGE:depends_on] data_provenance:s36_multisector_ed.py -> constants:n_pairs  # archive-script uses n_pairs
[EDGE:depends_on] data_provenance:s36_multisector_ed.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s36_sfull_tau_stabilization.py -> constants:S_fold  # archive-script uses S_fold
[EDGE:depends_on] data_provenance:s36_sfull_tau_stabilization.py -> constants:d2S_fold  # archive-script uses d2S_fold
[EDGE:depends_on] data_provenance:s36_sfull_tau_stabilization.py -> constants:dS_fold  # archive-script uses dS_fold
[EDGE:depends_on] data_provenance:s36_species_scale.py -> constants:M_KK  # archive-script uses M_KK
[EDGE:depends_on] data_provenance:s36_species_scale.py -> constants:M_Pl_reduced  # archive-script uses M_Pl_reduced
[EDGE:depends_on] data_provenance:s36_species_scale.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s36_tau_dynamics.py -> constants:dt_transit  # archive-script uses dt_transit
[EDGE:depends_on] data_provenance:s36_tau_dynamics.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s36_tau_dynamics.py -> constants:v_term  # archive-script uses v_term
[EDGE:depends_on] data_provenance:s37_cutoff_crosscheck.py -> constants:dS_fold  # archive-script uses dS_fold
[EDGE:depends_on] data_provenance:s37_cutoff_sa.py -> constants:dS_fold  # archive-script uses dS_fold
[EDGE:depends_on] data_provenance:s37_instanton_action.py -> constants:M_max_thouless  # archive-script uses M_max_thouless
[EDGE:depends_on] data_provenance:s37_instanton_action.py -> constants:S_inst  # archive-script uses S_inst
[EDGE:depends_on] data_provenance:s37_instanton_action.py -> constants:rho_B2_per_mode  # archive-script uses rho_B2_per_mode
[EDGE:depends_on] data_provenance:s37_instanton_action_legacy.py -> constants:E_B1  # archive-script uses E_B1
[EDGE:depends_on] data_provenance:s37_instanton_action_legacy.py -> constants:S_inst  # archive-script uses S_inst
[EDGE:depends_on] data_provenance:s37_instanton_action_legacy.py -> constants:rho_B2_per_mode  # archive-script uses rho_B2_per_mode
[EDGE:depends_on] data_provenance:s37_instanton_action_legacy.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s37_instanton_mc.py -> constants:Delta_0_GL  # archive-script uses Delta_0_GL
[EDGE:depends_on] data_provenance:s37_instanton_mc.py -> constants:L_over_xi  # archive-script uses L_over_xi
[EDGE:depends_on] data_provenance:s37_instanton_mc.py -> constants:S_inst  # archive-script uses S_inst
[EDGE:depends_on] data_provenance:s37_instanton_mc.py -> constants:a_GL  # archive-script uses a_GL
[EDGE:depends_on] data_provenance:s37_instanton_mc.py -> constants:b_GL  # archive-script uses b_GL
[EDGE:depends_on] data_provenance:s37_instanton_mc.py -> constants:barrier_0d  # archive-script uses barrier_0d
[EDGE:depends_on] data_provenance:s37_instanton_mc.py -> constants:barrier_1d  # archive-script uses barrier_1d
[EDGE:depends_on] data_provenance:s37_instanton_mc.py -> constants:xi_BCS  # archive-script uses xi_BCS
[EDGE:depends_on] data_provenance:s37_instanton_mc.py -> constants:xi_GL  # archive-script uses xi_GL
[EDGE:depends_on] data_provenance:s37_k7_g1.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s37_oneloop_sa.py -> constants:E_B1  # archive-script uses E_B1
[EDGE:depends_on] data_provenance:s37_oneloop_sa.py -> constants:dS_fold  # archive-script uses dS_fold
[EDGE:depends_on] data_provenance:s37_oneloop_sa.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s37_pair_susceptibility.py -> constants:Delta_0_OES  # archive-script uses Delta_0_OES
[EDGE:depends_on] data_provenance:s37_pair_susceptibility.py -> constants:Delta_BCS  # archive-script uses Delta_BCS
[EDGE:depends_on] data_provenance:s37_pair_susceptibility.py -> constants:E_cond  # archive-script uses E_cond
[EDGE:depends_on] data_provenance:s37_pair_susceptibility.py -> constants:omega_split  # archive-script uses omega_split
[EDGE:depends_on] data_provenance:s37_pair_susceptibility.py -> constants:ratio_Evac_Econd  # archive-script uses ratio_Evac_Econd
[EDGE:depends_on] data_provenance:s37_pair_susceptibility_legacy.py -> constants:omega_split  # archive-script uses omega_split
[EDGE:depends_on] data_provenance:s38_attempt_freq.py -> constants:E_B2_mean  # archive-script uses E_B2_mean
[EDGE:depends_on] data_provenance:s38_attempt_freq.py -> constants:E_B3_mean  # archive-script uses E_B3_mean
[EDGE:depends_on] data_provenance:s38_attempt_freq.py -> constants:E_cond  # archive-script uses E_cond
[EDGE:depends_on] data_provenance:s38_attempt_freq.py -> constants:Gamma_Langer_BCS  # archive-script uses Gamma_Langer_BCS
[EDGE:depends_on] data_provenance:s38_attempt_freq.py -> constants:S_inst  # archive-script uses S_inst
[EDGE:depends_on] data_provenance:s38_attempt_freq.py -> constants:a_GL  # archive-script uses a_GL
[EDGE:depends_on] data_provenance:s38_attempt_freq.py -> constants:b_GL  # archive-script uses b_GL
[EDGE:depends_on] data_provenance:s38_attempt_freq.py -> constants:barrier_0d  # archive-script uses barrier_0d
[EDGE:depends_on] data_provenance:s38_attempt_freq.py -> constants:omega_PV  # archive-script uses omega_PV
[EDGE:depends_on] data_provenance:s38_attempt_freq.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s38_attempt_freq.py -> constants:xi_BCS  # archive-script uses xi_BCS
[EDGE:depends_on] data_provenance:s38_attempt_freq.py -> constants:xi_GL  # archive-script uses xi_GL
[EDGE:depends_on] data_provenance:s38_cc_instanton.py -> constants:a_GL  # archive-script uses a_GL
[EDGE:depends_on] data_provenance:s38_cc_instanton.py -> constants:b_GL  # archive-script uses b_GL
[EDGE:depends_on] data_provenance:s38_cc_instanton.py -> constants:barrier_0d  # archive-script uses barrier_0d
[EDGE:depends_on] data_provenance:s38_cc_instanton.py -> constants:barrier_1d  # archive-script uses barrier_1d
[EDGE:depends_on] data_provenance:s38_cc_instanton.py -> constants:dS_fold  # archive-script uses dS_fold
[EDGE:depends_on] data_provenance:s38_cc_instanton.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s38_cc_instanton.py -> constants:xi_BCS  # archive-script uses xi_BCS
[EDGE:depends_on] data_provenance:s38_cc_instanton.py -> constants:xi_GL  # archive-script uses xi_GL
[EDGE:depends_on] data_provenance:s38_kz_defects.py -> constants:E_cond  # archive-script uses E_cond
[EDGE:depends_on] data_provenance:s38_kz_defects.py -> constants:H_fold  # archive-script uses H_fold
[EDGE:depends_on] data_provenance:s38_kz_defects.py -> constants:P_exc_kz  # archive-script uses P_exc_kz
[EDGE:depends_on] data_provenance:s38_kz_defects.py -> constants:S_inst  # archive-script uses S_inst
[EDGE:depends_on] data_provenance:s38_kz_defects.py -> constants:a_GL  # archive-script uses a_GL
[EDGE:depends_on] data_provenance:s38_kz_defects.py -> constants:b_GL  # archive-script uses b_GL
[EDGE:depends_on] data_provenance:s38_kz_defects.py -> constants:dt_transit  # archive-script uses dt_transit
[EDGE:depends_on] data_provenance:s38_kz_defects.py -> constants:n_Bog  # archive-script uses n_Bog
[EDGE:depends_on] data_provenance:s38_kz_defects.py -> constants:omega_PV  # archive-script uses omega_PV
[EDGE:depends_on] data_provenance:s38_kz_defects.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s38_kz_defects.py -> constants:v_terminal  # archive-script uses v_terminal
[EDGE:depends_on] data_provenance:s38_kz_defects.py -> constants:xi_BCS  # archive-script uses xi_BCS
[EDGE:depends_on] data_provenance:s38_kz_defects.py -> constants:xi_GL  # archive-script uses xi_GL
[EDGE:depends_on] data_provenance:s38_kz_defects_legacy.py -> constants:Delta_0_GL  # archive-script uses Delta_0_GL
[EDGE:depends_on] data_provenance:s38_kz_defects_legacy.py -> constants:Delta_0_OES  # archive-script uses Delta_0_OES
[EDGE:depends_on] data_provenance:s38_kz_defects_legacy.py -> constants:E_cond  # archive-script uses E_cond
[EDGE:depends_on] data_provenance:s38_kz_defects_legacy.py -> constants:H_fold  # archive-script uses H_fold
[EDGE:depends_on] data_provenance:s38_kz_defects_legacy.py -> constants:L_over_xi  # archive-script uses L_over_xi
[EDGE:depends_on] data_provenance:s38_kz_defects_legacy.py -> constants:P_exc_kz  # archive-script uses P_exc_kz
[EDGE:depends_on] data_provenance:s38_kz_defects_legacy.py -> constants:S_inst  # archive-script uses S_inst
[EDGE:depends_on] data_provenance:s38_kz_defects_legacy.py -> constants:a_GL  # archive-script uses a_GL
[EDGE:depends_on] data_provenance:s38_kz_defects_legacy.py -> constants:b_GL  # archive-script uses b_GL
[EDGE:depends_on] data_provenance:s38_kz_defects_legacy.py -> constants:dt_transit  # archive-script uses dt_transit
[EDGE:depends_on] data_provenance:s38_kz_defects_legacy.py -> constants:n_Bog  # archive-script uses n_Bog
[EDGE:depends_on] data_provenance:s38_kz_defects_legacy.py -> constants:omega_PV  # archive-script uses omega_PV
[EDGE:depends_on] data_provenance:s38_kz_defects_legacy.py -> constants:ratio_Evac_Econd  # archive-script uses ratio_Evac_Econd
[EDGE:depends_on] data_provenance:s38_kz_defects_legacy.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s38_kz_defects_legacy.py -> constants:v_terminal  # archive-script uses v_terminal
[EDGE:depends_on] data_provenance:s38_kz_defects_legacy.py -> constants:xi_BCS  # archive-script uses xi_BCS
[EDGE:depends_on] data_provenance:s38_kz_defects_legacy.py -> constants:xi_GL  # archive-script uses xi_GL
[EDGE:depends_on] data_provenance:s38_otoc_bcs.py -> constants:omega_PV  # archive-script uses omega_PV
[EDGE:depends_on] data_provenance:s39_9to1_sweep.py -> constants:E_cond  # archive-script uses E_cond
[EDGE:depends_on] data_provenance:s39_9to1_sweep.py -> constants:a_GL  # archive-script uses a_GL
[EDGE:depends_on] data_provenance:s39_9to1_sweep.py -> constants:b_GL  # archive-script uses b_GL
[EDGE:depends_on] data_provenance:s39_9to1_sweep.py -> constants:omega_PV  # archive-script uses omega_PV
[EDGE:depends_on] data_provenance:s39_9to1_sweep.py -> constants:omega_att  # archive-script uses omega_att
[EDGE:depends_on] data_provenance:s39_9to1_sweep.py -> constants:sigma_8  # archive-script uses sigma_8
[EDGE:depends_on] data_provenance:s39_9to1_sweep.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s39_bdg_simulation.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s39_bdg_simulation.py -> constants:v_terminal  # archive-script uses v_terminal
[EDGE:depends_on] data_provenance:s39_friedmann_bcs.py -> constants:E_cond  # archive-script uses E_cond
[EDGE:depends_on] data_provenance:s39_friedmann_bcs.py -> constants:dS_fold  # archive-script uses dS_fold
[EDGE:depends_on] data_provenance:s39_friedmann_bcs.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s39_fubini_study.py -> constants:E_B2_mean  # archive-script uses E_B2_mean
[EDGE:depends_on] data_provenance:s39_fubini_study.py -> constants:E_cond  # archive-script uses E_cond
[EDGE:depends_on] data_provenance:s39_fubini_study.py -> constants:Omega_m  # archive-script uses Omega_m
[EDGE:depends_on] data_provenance:s39_geodesic_mass.py -> constants:E_B1  # archive-script uses E_B1
[EDGE:depends_on] data_provenance:s39_geodesic_mass.py -> constants:d_spec  # archive-script uses d_spec
[EDGE:depends_on] data_provenance:s39_geodesic_mass.py -> constants:omega_att  # archive-script uses omega_att
[EDGE:depends_on] data_provenance:s39_geodesic_mass.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s39_geodesic_mass.py -> constants:v_terminal  # archive-script uses v_terminal
[EDGE:depends_on] data_provenance:s39_gge_lambdas.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s39_integrability_check.py -> constants:hbar_eV_s  # archive-script uses hbar_eV_s
[EDGE:depends_on] data_provenance:s39_integrability_check.py -> constants:t_universe_s  # archive-script uses t_universe_s
[EDGE:depends_on] data_provenance:s39_odd_blocking.py -> constants:E_cond  # archive-script uses E_cond
[EDGE:depends_on] data_provenance:s39_richardson_gaudin.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s39_schwinger_geometric.py -> constants:Delta_0_GL  # archive-script uses Delta_0_GL
[EDGE:depends_on] data_provenance:s39_schwinger_geometric.py -> constants:a_GL  # archive-script uses a_GL
[EDGE:depends_on] data_provenance:s39_schwinger_geometric.py -> constants:b_GL  # archive-script uses b_GL
[EDGE:depends_on] data_provenance:s39_schwinger_geometric.py -> constants:rho_B2_per_mode  # archive-script uses rho_B2_per_mode
[EDGE:depends_on] data_provenance:s39_schwinger_geometric.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s39_schwinger_naz_review.py -> constants:Delta_0_GL  # archive-script uses Delta_0_GL
[EDGE:depends_on] data_provenance:s39_schwinger_naz_review.py -> constants:E_cond  # archive-script uses E_cond
[EDGE:depends_on] data_provenance:s39_schwinger_naz_review.py -> constants:a_GL  # archive-script uses a_GL
[EDGE:depends_on] data_provenance:s39_schwinger_naz_review.py -> constants:b_GL  # archive-script uses b_GL
[EDGE:depends_on] data_provenance:s39_schwinger_naz_review.py -> constants:v_terminal  # archive-script uses v_terminal
[EDGE:depends_on] data_provenance:s39_schwinger_proof.py -> constants:Delta_0_GL  # archive-script uses Delta_0_GL
[EDGE:depends_on] data_provenance:s39_schwinger_proof.py -> constants:E_cond_GL  # archive-script uses E_cond_GL
[EDGE:depends_on] data_provenance:s39_schwinger_proof.py -> constants:a_GL  # archive-script uses a_GL
[EDGE:depends_on] data_provenance:s39_schwinger_proof.py -> constants:b_GL  # archive-script uses b_GL
[EDGE:depends_on] data_provenance:s39_schwinger_proof.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s39_schwinger_proof.py -> constants:v_terminal  # archive-script uses v_terminal
[EDGE:depends_on] data_provenance:s40_acoustic_temperature.py -> constants:Delta_BCS  # archive-script uses Delta_BCS
[EDGE:depends_on] data_provenance:s40_acoustic_temperature.py -> constants:E_cond  # archive-script uses E_cond
[EDGE:depends_on] data_provenance:s40_acoustic_temperature.py -> constants:T_acoustic  # archive-script uses T_acoustic
[EDGE:depends_on] data_provenance:s40_cc_transit.py -> constants:E_cond  # archive-script uses E_cond
[EDGE:depends_on] data_provenance:s40_cc_transit.py -> constants:S_fold  # archive-script uses S_fold
[EDGE:depends_on] data_provenance:s40_collective_inertia.py -> constants:E_B1  # archive-script uses E_B1
[EDGE:depends_on] data_provenance:s40_collective_inertia.py -> constants:G_DeWitt  # archive-script uses G_DeWitt
[EDGE:depends_on] data_provenance:s40_collective_inertia.py -> constants:d2S_fold  # archive-script uses d2S_fold
[EDGE:depends_on] data_provenance:s40_collective_inertia.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s40_gsl_transit.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s40_gsl_transit.py -> constants:v_terminal  # archive-script uses v_terminal
[EDGE:depends_on] data_provenance:s40_hessian_offjensen.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s40_nohair_sensitivity.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s40_nohair_sensitivity.py -> constants:v_crit  # archive-script uses v_crit
[EDGE:depends_on] data_provenance:s40_qrpa_modes.py -> constants:n_pairs  # archive-script uses n_pairs
[EDGE:depends_on] data_provenance:s40_qrpa_modes.py -> constants:tau_fold  # archive-script uses tau_fold
